x,y,sensor_value,acc_weight,acc_weight_reading,confidence,acc_variance,variance
0.0,1200.0,0.23,5.328179191963543e-06,3.446088417112313e-07,0.4329971601810202,2.370843592974103e-10,0.08
0.0,1250.0,0.22,7.1816665660286605e-06,4.678374381565438e-07,0.6432792405576078,3.4087918333967336e-10,0.05
0.0,1300.0,0.22,9.001953402476723e-06,5.891395481496822e-07,0.8020151307206356,4.413099906357354e-10,0.03
0.0,1350.0,0.22,1.0314887095052236e-05,6.771465962670308e-07,0.8807392401041834,5.136781756296941e-10,0.02
0.0,1450.0,0.22,1.0012517926496565e-05,6.598097210161576e-07,0.8651512738384654,5.038224526312224e-10,0.02
0.0,1500.0,0.22,8.417377356107595e-06,5.554367166746221e-07,0.7573291498652206,4.239643441151489e-10,0.03
0.0,1550.0,0.23,6.350881252271169e-06,4.1956492391757353e-07,0.5534067801296931,3.198525260657113e-10,0.06
0.0,1600.0,0.24,4.2967558408848115e-06,2.841669464517782e-07,0.3085626985790576,2.1627100309216297e-10,0.09
0.0,1650.0,0.24,2.605401623838803e-06,1.7248792601563414e-07,0.1268666380614536,1.3102960774854893e-10,0.12
0.0,1700.0,0.24,1.4154709616627282e-06,9.380710331895653e-08,0.03925188226022058,7.111887791910932e-11,0.13
50.0,0.0,0.24,2.76623468144349e-07,1.5725220651506013e-08,0.0015281668278298577,6.775723948159155e-12,0.14
50.0,50.0,0.24,3.729563100398464e-07,2.10715832601542e-08,0.00277611317938542,9.164182372804196e-12,0.13
50.0,100.0,0.24,4.650909103719323e-07,2.613083822898073e-08,0.004313820345112407,1.1490556974660277e-11,0.13
50.0,150.0,0.24,5.41049663992121e-07,3.025552650038759e-08,0.005833500212572562,1.3478533401710661e-11,0.13
50.0,200.0,0.24,5.937150953376632e-07,3.307928541320618e-08,0.007020241479801292,1.4945528749556217e-11,0.13
50.0,250.0,0.24,6.233640461645875e-07,3.464513917831681e-08,0.00773611569782362,1.5829876589407715e-11,0.13
50.0,300.0,0.24,6.371098114031815e-07,3.537306531406326e-08,0.008079657453678002,1.6146766281854228e-11,0.13
50.0,350.0,0.24,6.458555184076555e-07,3.5901618500137635e-08,0.008302071760256768,1.5913443282462553e-11,0.13
50.0,400.0,0.24,6.608946171110212e-07,3.690807054304343e-08,0.008691505213835327,1.5109710211569e-11,0.13
50.0,450.0,0.24,6.924735769853705e-07,3.902209342141791e-08,0.009537878452308912,1.3711150827993489e-11,0.13
50.0,500.0,0.24,7.5100304638393e-07,4.2874298416880215e-08,0.011208893566350575,1.1768607032698487e-11,0.13
50.0,550.0,0.24,8.489503447231492e-07,4.9185618940258874e-08,0.014300962626177971,9.463139300186817e-12,0.13
50.0,600.0,0.24,9.99861493652031e-07,5.8707987010221495e-08,0.019782127289135087,7.08334003655223e-12,0.13
50.0,650.0,0.24,1.2125365042795064e-06,7.189891248107126e-08,0.028956717928984355,4.937120946958037e-12,0.13
50.0,700.0,0.24,1.4828994012445357e-06,8.846344055593033e-08,0.042997154781739044,3.264877444548221e-12,0.13
50.0,750.0,0.24,1.789994595172906e-06,1.0713054416932741e-07,0.06202932350449497,2.2242284567461042e-12,0.13
50.0,800.0,0.24,2.101450067832663e-06,1.2598238021183124e-07,0.08447700416614001,1.9841569139709934e-12,0.12
50.0,850.0,0.24,2.387528339526664e-06,1.432994293713265e-07,0.10767577914030457,2.9460172968111126e-12,0.12
50.0,900.0,0.24,2.637299214733445e-06,1.5855750863928533e-07,0.1297799887131056,6.120191035935848e-12,0.12
50.0,950.0,0.24,2.8713936202231003e-06,1.7326406977561231e-07,0.15192158471701767,1.3682944362832062e-11,0.11
